"","V1","V2"
"514","ENSG00000034693.15","PEX3"
"515","ENSG00000034713.8","GABARAPL2"
"516","ENSG00000034971.17","MYOC"
"517","ENSG00000035115.22","SH3YL1"
"518","ENSG00000035141.10","FAM136A"
"519","ENSG00000035403.18","VCL"
"520","ENSG00000035499.13","DEPDC1B"
"521","ENSG00000035664.11","DAPK2"
"522","ENSG00000035681.10","NSMAF"
"523","ENSG00000035687.10","ADSS2"
"524","ENSG00000035720.8","STAP1"
"525","ENSG00000035862.13","TIMP2"
"526","ENSG00000035928.17","RFC1"
"527","ENSG00000036054.13","TBC1D23"
"528","ENSG00000036257.14","CUL3"
"529","ENSG00000036448.10","MYOM2"
"530","ENSG00000036473.9","OTC"
"531","ENSG00000036530.9","CYP46A1"
"532","ENSG00000036549.13","ZZZ3"
"533","ENSG00000036565.15","SLC18A1"
"534","ENSG00000036672.16","USP2"
"535","ENSG00000036828.17","CASR"
"536","ENSG00000037042.9","TUBG2"
"537","ENSG00000037241.7","RPL26L1"
"538","ENSG00000037280.16","FLT4"
"539","ENSG00000037474.15","NSUN2"
"540","ENSG00000037637.11","FBXO42"
"541","ENSG00000037749.13","MFAP3"
"542","ENSG00000037757.14","MRI1"
"543","ENSG00000037897.17","METTL1"
"544","ENSG00000037965.6","HOXC8"
"545","ENSG00000038002.9","AGA"
"546","ENSG00000038210.14","PI4K2B"
"547","ENSG00000038219.13","BOD1L1"
"548","ENSG00000038274.18","MAT2B"
"549","ENSG00000038295.8","TLL1"
"550","ENSG00000038358.15","EDC4"
"551","ENSG00000038382.23","TRIO"
"552","ENSG00000038427.16","VCAN"
"553","ENSG00000038532.17","CLEC16A"
"554","ENSG00000038945.15","MSR1"
"555","ENSG00000039068.20","CDH1"
"556","ENSG00000039123.16","MTREX"
"557","ENSG00000039139.11","DNAH5"
"558","ENSG00000039319.17","ZFYVE16"
"559","ENSG00000039523.20","RIPOR1"
"560","ENSG00000039537.16","C6"
"561","ENSG00000039560.14","RAI14"
"562","ENSG00000039600.11","SOX30"
"563","ENSG00000039650.12","PNKP"
"564","ENSG00000039987.7","BEST2"
"565","ENSG00000040199.18","PHLPP2"
"566","ENSG00000040275.17","SPDL1"
"567","ENSG00000040341.18","STAU2"
"568","ENSG00000040487.13","SLC66A1"
"569","ENSG00000040531.16","CTNS"
"570","ENSG00000040608.14","RTN4R"
"571","ENSG00000040633.13","PHF23"
"572","ENSG00000040731.10","CDH10"
"573","ENSG00000040933.17","INPP4A"
"574","ENSG00000041353.10","RAB27B"
"575","ENSG00000041357.16","PSMA4"
"576","ENSG00000041515.16","MYO16"
"577","ENSG00000041802.11","LSG1"
"578","ENSG00000041880.15","PARP3"
"579","ENSG00000041982.17","TNC"
"580","ENSG00000041988.16","THAP3"
"581","ENSG00000042062.13","RIPOR3"
"582","ENSG00000042088.14","TDP1"
"583","ENSG00000042286.15","AIFM2"
"584","ENSG00000042304.14","SLC19A4P"
"585","ENSG00000042317.17","SPATA7"
"586","ENSG00000042429.12","MED17"
"587","ENSG00000042445.14","RETSAT"
"588","ENSG00000042493.16","CAPG"
"589","ENSG00000042753.12","AP2S1"
"590","ENSG00000042781.14","USH2A"
"591","ENSG00000042813.8","ZPBP"
"592","ENSG00000042832.12","TG"
"593","ENSG00000042980.14","ADAM28"
"594","ENSG00000043039.7","BARX2"
"595","ENSG00000043093.15","DCUN1D1"
"596","ENSG00000043143.22","JADE2"
"597","ENSG00000043355.12","ZIC2"
"598","ENSG00000043462.13","LCP2"
"599","ENSG00000043514.17","TRIT1"
"600","ENSG00000043591.6","ADRB1"
"601","ENSG00000044012.4","GUCA2B"
"602","ENSG00000044090.13","CUL7"
"603","ENSG00000044115.21","CTNNA1"
"604","ENSG00000044446.12","PHKA2"
"605","ENSG00000044459.15","CNTLN"
"606","ENSG00000044524.11","EPHA3"
"607","ENSG00000044574.9","HSPA5"
"608","ENSG00000046604.15","DSG2"
"609","ENSG00000046647.15","GEMIN8"
"610","ENSG00000046651.16","OFD1"
"611","ENSG00000046653.15","GPM6B"
"612","ENSG00000046774.10","MAGEC2"
"613","ENSG00000046889.19","PREX2"
"614","ENSG00000047056.18","WDR37"
"615","ENSG00000047188.16","YTHDC2"
"616","ENSG00000047230.15","CTPS2"
"617","ENSG00000047249.18","ATP6V1H"
"618","ENSG00000047315.17","POLR2B"
"619","ENSG00000047346.13","ATOSA"
"620","ENSG00000047365.13","ARAP2"
"621","ENSG00000047410.14","TPR"
"622","ENSG00000047457.14","CP"
"623","ENSG00000047578.14","KATNIP"
"624","ENSG00000047579.20","DTNBP1"
"625","ENSG00000047597.7","XK"
"626","ENSG00000047617.18","ANO2"
"627","ENSG00000047621.12","FERRY3"
"628","ENSG00000047634.15","SCML1"
"629","ENSG00000047644.20","WWC3"
"630","ENSG00000047648.23","ARHGAP6"
"631","ENSG00000047662.5","FAM184B"
"632","ENSG00000047849.22","MAP4"
"633","ENSG00000047932.14","GOPC"
"634","ENSG00000047936.11","ROS1"
"635","ENSG00000048028.12","USP28"
"636","ENSG00000048052.25","HDAC9"
"637","ENSG00000048140.18","TSPAN17"
"638","ENSG00000048162.22","NOP16"
"639","ENSG00000048342.18","CC2D2A"
"640","ENSG00000048392.13","RRM2B"
"641","ENSG00000048405.11","ZNF800"
"642","ENSG00000048462.11","TNFRSF17"
"643","ENSG00000048471.14","SNX29"
"644","ENSG00000048540.16","LMO3"
"645","ENSG00000048544.7","MRPS10"
"646","ENSG00000048545.18","GUCA1A"
"647","ENSG00000048649.14","RSF1"
"648","ENSG00000048707.15","VPS13D"
"649","ENSG00000048740.19","CELF2"
"650","ENSG00000048828.18","FAM120A"
"651","ENSG00000048991.18","R3HDM1"
"652","ENSG00000049089.15","COL9A2"
"653","ENSG00000049130.16","KITLG"
"654","ENSG00000049167.16","ERCC8"
"655","ENSG00000049192.15","ADAMTS6"
