"","log2FoldChange","padj"
"INPP5D",-1.43837853453383,1.25193837717852e-26
"ACTBL2",1.40622567870647,1.20729841139444e-12
"CPT1C",2.10595746360286,7.51088008926202e-42
"CA5B",1.031058248953,9.21176835014022e-33
"B3GALNT1",-2.19972811794269,7.63730980923701e-298
"NPR1",2.49296930559281,1.28109709730254e-19
"RAC3",-1.61824786190621,3.70790345083722e-232
"SLC16A5",-1.9275998648918,9.56159746486564e-11
"TCAF2",1.2044411521888,1.23861587897821e-07
"DPY19L2P2",1.01611284075122,5.85320266912655e-10
"PDGFD",1.40711286958416,4.97890603547841e-85
"S1PR1",1.10458901148635,5.42871396255234e-12
"APLN",-1.03976971300826,8.38663582902835e-13
"ZNF562",1.11136137572731,2.34651768898895e-133
"ZNF561",1.17174502287955,2.71993507245411e-161
"COL24A1",1.26483314938697,2.18224839081043e-26
"PTGER4",1.34216680655885,1.00066919744671e-11
"UTF1",-1.4795008812025,2.2021644104954e-08
"ZNF738",7.87678552299108,2.97511632956651e-51
"EFCAB12",1.37766654569484,7.47506258009806e-08
"FRG2C",1.21060907269432,3.97403699823515e-06
"LRRN3",1.79926187684379,1.70467309016068e-27
"ZNF483",1.13706520617009,1.60457351800167e-71
"ADGRG2",1.19395259230365,4.47952350679356e-27
"HAP1",1.09723546528478,1.61778574033381e-29
"TNK1",1.57178775060383,6.95560147487074e-29
"PHLDA3",-1.05732622928755,9.06018688449337e-51
"ZNF266",1.32352328583397,6.69131722339763e-274
"BRSK2",-1.70610859571991,2.48139753579179e-187
"SLC22A1",1.00986200692295,0.0008335816836548
"NRIP3",-1.99513431873517,4.79408589793282e-139
"SCUBE2",-1.22984776372877,5.19644264803296e-06
"LPL",1.07562809159549,8.41697574108141e-46
"KDF1",2.25494258694967,4.16995364246549e-20
"DMRTA1",1.51903011083556,2.80877296954745e-38
"BDNF",1.21748642500229,2.09323880197681e-09
"MAGEB6",1.06142179502193,4.31217440404662e-05
"MIR7.3HG",1.8841271752163,1.44706793275526e-21
"C19orf18",1.22019339272052,2.23330181801358e-07
"SCN4B",-1.15048930541474,1.251358236612e-14
"ZDHHC22",-1.31330968542899,5.01283988003045e-30
"ZNF491",-3.01195441031879,1.91432132630666e-25
"GK4P",-1.03870926330594,2.84969476115121e-17
"MAF",1.41172870174368,4.17291007561819e-143
"RPP25",-1.06730471516494,4.02065820580077e-16
"EGR3",1.67090858485324,1.76749471055376e-05
"APOBEC3B",2.07429337959472,2.89276744347344e-26
"H2BC4",-1.09174707755495,5.7778788418976e-05
"BHLHE22",-1.05671824849238,0.000336490589281275
"NQO1",-1.39339094348062,1.05643146079939e-58
"MAPK15",1.09829237136122,1.10610602896656e-06
"AATK",1.31261187028149,5.02203079042597e-49
"RNF135",-1.63271475850725,1.46798989130234e-69
"ADGRB1",-1.08168721966563,7.49769791826937e-37
"TSHZ2",1.7064636038388,1.13566834985797e-31
"ZNF320",7.95848900915789,2.52203826047739e-91
"GAS6",-1.02461210508902,5.91966930611729e-54
"TNFAIP8L3",1.10490075010097,4.20864465677155e-17
"RP1L1",1.04403914132715,2.79880766585589e-06
"ZNF730",6.47144230084137,5.02666577524346e-25
"ALDH1A3",-1.23976008253002,2.18977785147837e-30
"SLIT3",1.07435318232037,1.96159975783701e-20
"RNLS",1.66473513921192,2.32484970302997e-12
"FAM110C",1.01952693660055,1.03736911769037e-09
"ATL3",1.03707659195719,2.07330724065633e-23
"JAG2",-1.16455432639346,9.85901099350943e-131
"TMEM121",-1.30107857154079,3.4217637268474e-30
"IFITM1",-1.3212235516604,9.47105273625016e-29
"PLK5",1.51011524490596,5.76778513349929e-11
"GABRA5",-3.04980659859864,1.17766366342928e-90
"NAP1L3",-2.09113301598109,5.69672871066916e-67
"MPPED1",-1.13658083778697,1.21949706424537e-06
"VSTM2B",-1.3023519289602,7.23630406607586e-14
"MAGEH1",1.54033717998347,2.38138797213485e-15
"DNER",1.17579639884755,1.75414786743053e-05
"COL4A5",1.12848976934419,3.5662214372444e-90
"ZNF559",1.15048580860011,7.23611438929657e-88
"OSTN",1.85946902428437,9.47184431707281e-22
"FSIP2",-2.32248685485509,2.19943710947591e-15
"INSYN2A",-1.18990458432559,0.000250933258347087
"ZNF676",2.5389990226979,1.40963180935184e-30
"MYT1",-1.44773575189585,2.29116547372065e-20
"S100A4",-1.02677781157919,7.18294509032853e-06
"CPNE4",1.34938863496554,1.2378573436204e-07
"HRH1",1.25941407021048,8.90687081153323e-05
"PIWIL2",1.38565294407457,1.55863843593047e-08
"UAP1L1",-1.10851332413778,2.89064726991793e-75
"ENSG00000197585",1.15915285196252,2.06082607696769e-08
"HRNR",1.45965888036309,1.12388810668895e-08
"ZNF121",1.31116240260604,3.8509560520356e-203
"SULT1C4",-4.12691072447059,2.21793339467588e-100
"CHSY3",1.0176430454479,2.40539410640698e-16
"UBL5",1.01603593991937,1.10492222624921e-111
"MAGEE1",-1.3725375461384,7.98776158815811e-25
"STUM",-1.2624780860386,3.03221173926738e-07
"NTMT2",-1.21500468271972,9.90555930487565e-05
"LINC00632",-2.00731353384109,1.36683191854412e-132
"HLA.DOA",1.14406929371441,6.30585370033941e-30
"TRIM15",1.34277018596363,1.77748290375201e-12
"TRIM10",1.11746741784458,2.05508242217533e-13
"ASPDH",1.73001829502231,1.8483127625539e-22
"OR2H2",1.35920623406311,1.79715418725594e-07
"LRRC10B",1.30760533973028,7.30248295662369e-10
"MUC19",-1.59480137055946,3.86840222403902e-12
"SMIM45",-1.07774394071178,1.30786743609234e-17
"PCOTH",1.39446872296578,2.82289180427202e-11
"C1RL.AS1",1.77975235631025,5.56264275942732e-12
"EWSAT1",1.18595149701836,1.02640130427722e-05
"RNF208",-1.33487242073425,4.25480434958905e-39
"GSTM2",-1.60063831500935,7.10325919733455e-17
"FAM220CP",-1.27473397452946,3.06943352523629e-05
"PLIN5",1.04618169117215,1.9200707730881e-06
"ZNF727",2.33281115231837,4.97325621570833e-15
"ENSG00000214915",1.26364517313406,3.48057817373707e-11
"UBE2QL1",1.54618969139,5.80706906450801e-27
"TSTD1",2.30542879578561,1.68176354299584e-113
"ZNF433.AS1",1.47942809883629,1.70825582673226e-66
"C6orf226",1.04665015062693,3.103021474989e-19
"HMSD",-1.72293357235206,1.05995955182726e-12
"USP17L2",1.67664014662308,1.73806139745431e-10
"TINCR",1.18399820638058,3.38788498705339e-19
"RFPL4A",2.33605508131839,2.25378377764261e-35
"CERS1",-1.33561294649747,4.06405387185977e-59
"ENSG00000224905",-1.19948675586706,1.60290912078236e-23
"ERVMER34.1",4.96999733433807,2.84158461357073e-39
"MIR34AHG",-1.77536087419096,2.96831038819775e-47
"CCDC183.AS1",1.50490454478914,6.74573239186321e-58
"ENSG00000228793",1.02971748436049,3.82427580323828e-06
"LINC02641",2.01425312331942,1.48853366372557e-12
"LINC01036",-2.98826143844157,1.27559857187021e-96
"WASIR2",1.21310057518562,3.96033583488735e-21
"GAS6.AS1",-1.0228447822438,2.97842365015564e-09
"LNCTAM34A",-1.21552538425319,4.25471333750384e-17
