"","ID","log2FoldChange","AveExpr","t","P.Value","padj","B"
"NAT9","NAT9",-0.219321068373438,5.31750907947895,-2.84023154730074,0.00643908347374888,0.772610857454487,-2.63322596796453
"FUCA2","FUCA2",0.147876120511727,6.64657367045546,2.93183326956264,0.00501505692857849,0.772610857454487,-2.6452326265117
"ATP6V0E2-AS1","ATP6V0E2-AS1",-0.332443478885749,3.3796891462864,-2.70125030822062,0.00932667865796362,0.851476199411578,-2.64750873141437
"SCG3","SCG3",-0.655317230751673,1.61532829579117,-2.76501932640929,0.00787909390012887,0.803535560170116,-2.64857110712164
"LRFN3","LRFN3",-0.238904967691057,4.59922580779964,-2.7761768149792,0.00764818978893512,0.797990631511595,-2.6590141455138
"RGP1","RGP1",-0.184359480284005,5.70792779857533,-2.85757241849817,0.00614362937408322,0.772610857454487,-2.66948679644938
"SESN2","SESN2",-0.171347445344658,6.25290581721315,-2.89583555972355,0.00553560783896198,0.772610857454487,-2.67327292102592
"SLC37A2","SLC37A2",-0.955106945376118,0.776010427769908,-2.86129861467932,0.00608180467955583,0.772610857454487,-2.69318156201374
"CALCB","CALCB",-0.528456049250453,2.25067020674386,-2.66893941563383,0.0101499222087585,0.854057983607857,-2.69826178262215
"RBFADN","RBFADN",0.675524521118914,1.26965269160886,2.76231117331805,0.00793610003358748,0.803535560170116,-2.70899207902849
"THSD1","THSD1",-0.445663734783861,2.29649904263372,-2.65571681982268,0.0105056208964845,0.854057983607857,-2.71940073383536
"CASTOR2","CASTOR2",-0.268791296609131,4.38433573584676,-2.71503238962759,0.00899455194472078,0.841480409165016,-2.74847296205365
"MEPCE","MEPCE",-0.249994482051955,4.78391110170536,-2.72801854370265,0.00869158602277077,0.825496364188314,-2.7636273067951
"CATSPERE","CATSPERE",0.858919229729202,0.626648296810558,2.82755836501308,0.0066632710895922,0.772610857454487,-2.76666429305542
"ENSG00000290450","ENSG00000290450",-0.378824988968394,2.86072849118179,-2.6268193708962,0.0113230309567447,0.854057983607857,-2.76951961880265
"TIMM44","TIMM44",-0.143759731977049,6.81496173472717,-2.89123746034354,0.00560560106189615,0.772610857454487,-2.77045204075541
"GRK6","GRK6",-0.157139922227,6.8533520761762,-2.8921525055754,0.00559160689727527,0.772610857454487,-2.77652822956108
"HELB","HELB",0.434272770102923,2.62556093444279,2.61607301395586,0.0116415490172805,0.862583475806166,-2.78666985426184
"KLF4","KLF4",-0.378390945271575,3.42858987716734,-2.6274613335322,0.0113042578315054,0.854057983607857,-2.78715042065208
"SLC7A5","SLC7A5",-0.143442162331834,7.24342412582306,-2.90581101391177,0.00538654093477799,0.772610857454487,-2.78902560766251
"MBD5","MBD5",-0.33926992121857,3.21323761928446,-2.6302487329665,0.0112230743918307,0.854057983607857,-2.79051224557512
"KLLN","KLLN",0.839285529853055,0.646954265773923,2.81409877215783,0.00690926208645403,0.772610857454487,-2.79480465797756
"KLHL17","KLHL17",0.296176592356944,4.43186832488591,2.69636033504102,0.00944720064005863,0.854057983607857,-2.81243969786298
"HMX1","HMX1",-0.382780046822901,3.76772736890266,-2.64502938891352,0.0108014218487366,0.854057983607857,-2.8150783643038
"ENSG00000298308","ENSG00000298308",-1.75942407255473,-0.946439299485975,-3.53878813216174,0.000861349088061,0.576599460711315,-2.81793916427174
"ENSG00000287222","ENSG00000287222",-0.457287522203622,2.35898078208817,-2.60000174405169,0.0121331802967575,0.873989280686277,-2.82804956003173
"ENSG00000273271","ENSG00000273271",0.730911305297594,1.25397572832414,2.71248227105351,0.00905517434456573,0.842978742677848,-2.83118405399636
"EFCAB14","EFCAB14",0.14740082758666,6.82872755441783,2.86742313439299,0.00598143883501302,0.772610857454487,-2.84370638953255
"FLVCR1-DT","FLVCR1-DT",-0.626427846297854,1.49408009400538,-2.63875519636281,0.0109786057460385,0.854057983607857,-2.84527513133466
"GNB2","GNB2",-0.154130878464081,7.36956332240493,-2.90040682168925,0.00546682842166578,0.772610857454487,-2.84725420584027
"ENSG00000267940","ENSG00000267940",1.07005833494493,0.187526331683614,2.97603394606628,0.00443820865128344,0.772610857454487,-2.84794226421949
"SARS1","SARS1",-0.13093093427018,7.35869092080867,-2.89447381870176,0.0055562514908427,0.772610857454487,-2.8562847775761
"PIM2","PIM2",0.194584283722444,5.39964966198248,2.74215910971045,0.00837238241458902,0.816534216236847,-2.86165264897209
"CLK4","CLK4",0.24723865377914,4.85413066015354,2.6963104426531,0.00944843765991455,0.854057983607857,-2.86300562411854
"MFAP1","MFAP1",0.196488185758787,5.81712214782012,2.78033866748906,0.00756367053149271,0.794101365023051,-2.86971805098055
"BRD2","BRD2",0.0993108170628538,9.351828087662,3.01805874288926,0.0039476897274891,0.772610857454487,-2.87071305965707
"REEP3","REEP3",0.158918745015503,6.06774054456064,2.79666498596957,0.00724036882203805,0.777434602266336,-2.87259264379379
"TDH-AS1","TDH-AS1",-0.664220127287482,1.38626158194789,-2.64778337621614,0.0107244782621071,0.854057983607857,-2.88386808655358
"FHL1P1","FHL1P1",1.40391298207027,-0.535660971706198,3.2285131677734,0.00216677797684634,0.729791947413616,-2.8850645563775
"ENSG00000257176","ENSG00000257176",0.896094474637307,0.610270880824159,2.80634075750501,0.00705483703940152,0.773819492768958,-2.88533579881791
"IFT22","IFT22",-0.220213270930857,4.63441714952007,-2.66605046195436,0.0102266819297047,0.854057983607857,-2.89741403112566
"PEPD","PEPD",-0.164900758995078,6.84823814444463,-2.84062594424039,0.00643221998500576,0.772610857454487,-2.89965343032464
"STAG3L4","STAG3L4",0.404357127989726,2.54374310699388,2.5578051105985,0.0135154292118956,0.887642930308173,-2.89980218933991
"SWI5","SWI5",-0.258303218986208,3.91111796403828,-2.61529462538883,0.011664934966486,0.862583475806166,-2.90554763729082
"WFS1","WFS1",-0.231218207483534,4.56276275963864,-2.65229028246826,0.0105996411954331,0.854057983607857,-2.90929781535687
"DHRS2","DHRS2",-0.399308839736216,3.14690024199198,-2.55719804745689,0.0135363204000559,0.887642930308173,-2.91042996293766
"ST3GAL3","ST3GAL3",-1.09828355830501,0.267565161317141,-2.93340345277864,0.00499342233005237,0.772610857454487,-2.9222613092188
"E2F8","E2F8",-0.22715214543429,4.818580858045,-2.66523275442525,0.0102485048459431,0.854057983607857,-2.93003543389731
"MYOM2","MYOM2",0.239344087989192,4.07041247328759,2.62777351762741,0.0112951388110671,0.854057983607857,-2.93675774576459
"TRIP6","TRIP6",-0.162508274875893,6.53950789355244,-2.80918523788811,0.00700113591343989,0.773819492768958,-2.94395577170184
"MANEAL","MANEAL",-0.189661901147325,5.94264660154548,-2.74583126532883,0.00829127225185556,0.816534216236847,-2.9581039983876
"KPNA2","KPNA2",0.0961976600332886,9.16914649873819,2.96916579743384,0.00452358578944767,0.772610857454487,-2.95859690745582
"COMMD4","COMMD4",-0.172892104380175,6.47011950855508,-2.78972516077142,0.00737620305347714,0.783120703958489,-2.95993998165688
"GLIPR1","GLIPR1",-0.688212903368899,1.54703461094851,-2.62364621063622,0.0114162438064576,0.856127680374748,-2.96414321059262
